Original array: [8448, 8576, 2124, 8699, 2358, 7409, 5782, 6965, 3005, 8488, 3904, 6533, 8807, 3697, 6474, 7148, 6619, 6521, 1178, 1175, 2277, 8157, 1818, 5448, 231, 8551, 2404, 1671, 3245, 3957, 4328, 3636, 6263, 3887, 6092, 1184, 6224, 5350, 4738, 762]
Sorted array: [231, 762, 1175, 1178, 1184, 1671, 1818, 2124, 2277, 2358, 2404, 3005, 3245, 3636, 3697, 3887, 3904, 3957, 4328, 4738, 5350, 5448, 5782, 6092, 6224, 6263, 6474, 6521, 6533, 6619, 6965, 7148, 7409, 8157, 8448, 8488, 8551, 8576, 8699, 8807]

Original array: [2406, 4027, 1983, 3940, 8908, 7166, 4898, 8835, 1096, 4992, 6930, 195, 6675, 1247, 5492, 4158, 7407, 8437, 1535, 6154, 4843, 1129, 8883, 4503, 204, 828, 8035, 3747, 5022, 5665, 1960, 4005, 1501, 1035, 6343, 3983, 5538, 5832, 717, 809]
Sorted array: [195, 204, 717, 809, 828, 1035, 1096, 1129, 1247, 1501, 1535, 1960, 1983, 2406, 3747, 3940, 3983, 4005, 4027, 4158, 4503, 4843, 4898, 4992, 5022, 5492, 5538, 5665, 5832, 6154, 6343, 6675, 6930, 7166, 7407, 8035, 8437, 8835, 8883, 8908]

Original array: [4597, 3241, 6698, 3389, 6969, 5442, 5954, 773, 7980, 8718, 3493, 778, 2858, 2188, 7605, 8253, 1671, 3, 3236, 8181, 4977, 96, 8658, 5654, 486, 2429, 2023, 8448, 8315, 5171, 6435, 1160, 1818, 3054, 5772, 1977, 8684, 1288, 1590, 2571]
Sorted array: [3, 96, 486, 773, 778, 1160, 1288, 1590, 1671, 1818, 1977, 2023, 2188, 2429, 2571, 2858, 3054, 3236, 3241, 3389, 3493, 4597, 4977, 5171, 5442, 5654, 5772, 5954, 6435, 6698, 6969, 7605, 7980, 8181, 8253, 8315, 8448, 8658, 8684, 8718]

Original array: [2534, 8085, 8514, 87, 1224, 5123, 1902, 7644, 5997, 3684, 1277, 8058, 3316, 779, 3350, 8082, 5798, 1197, 6497, 3973, 2581, 2000, 5409, 2297, 34, 7845, 1721, 7826, 5401, 5115, 2396, 4688, 6840, 4411, 6559, 1449, 3352, 3920, 6776, 3826]
Sorted array: [34, 87, 779, 1197, 1224, 1277, 1449, 1721, 1902, 2000, 2297, 2396, 2534, 2581, 3316, 3350, 3352, 3684, 3826, 3920, 3973, 4411, 4688, 5115, 5123, 5401, 5409, 5798, 5997, 6497, 6559, 6776, 6840, 7644, 7826, 7845, 8058, 8082, 8085, 8514]

Original array: [2151, 5886, 4735, 8650, 564, 1326, 6496, 1035, 4190, 3388, 5251, 8919, 5797, 6174, 5447, 5657, 6955, 4452, 3494, 1323, 7032, 1056, 4286, 6389, 7810, 3417, 7066, 3415, 2352, 1448, 5738, 2758, 5248, 3024, 2118, 2874, 7011, 7087, 1119, 4332]
Sorted array: [564, 1035, 1056, 1119, 1323, 1326, 1448, 2118, 2151, 2352, 2758, 2874, 3024, 3388, 3415, 3417, 3494, 4190, 4286, 4332, 4452, 4735, 5248, 5251, 5447, 5657, 5738, 5797, 5886, 6174, 6389, 6496, 6955, 7011, 7032, 7066, 7087, 7810, 8650, 8919]

